ID|CONGLOMERADO|NSELV|VIVREM|NSELVREMP|ID_MUESTRA|ESTRATO|DOMINIO|PERIODO|CCDD|DEPARTAMENTO|CCPP|PROVINCIA|CCDI|DISTRITO|CODCCPP|NOMCCPP|ZONA|MANZANA|AER_INI|AER_FIN|AREA|GPS_LONG|GPS_LAT|GPS_ALT|RESVIV|RFINAL|VIVIENDA|TOHOGAR|HOGAR_ID|C1P101|C1P101_O|C1P102|C1P102_O|C1P103|C1P103_O|C1P104|C1P104_O|C1P105|C1P105_O|C1P106|C1P106_O|C1P107|C1P107_O|C1P108|C1P109|C1P110_1|C1P110_2|C1P110_3|C1P110_4|C1P110_5|C1P110_6|C1P110_7|C1P111|C1P112_1|C1P112_1_COD|C1P112_2|C1P112_2_COD|C1P112_3|C1P112_3_COD|C1P200|FACTOR_VIV
62527|0056501|0126|0||1|||4|20|PIURA|07|TALARA|06|MANCORA|0001|MANCORA|00300|007A|||1|-81.041739|-4.1044320|13.0|1|1|008|1|1|1||1||1||5||1||1||1||2|1|1|1|2|1|2|2|1|2|||||||2|4810.55151984834
62418|0056501|0017|1|0104|1|||4|20|PIURA|07|TALARA|06|MANCORA|0001|MANCORA|00300|001B|||1|-81.044857|-4.1047252|16.0|1|1|009|1|1|1||1||4||6||1||1||5||2|1|2|2|2|2|2|2|1|2|||||||3|4810.55151984834
62235|01037|0004|0||1|||4|20|PIURA|06|SULLANA|07|QUERECOTILLO|0001|QUERECOTILLO|00300|036B|||1|-80.644584|-4.8352110|62.0|1|1|001|1|1|1||1||1||2||1||1||1||4|2|2|2|1|1|2|2|1|2|||||||2|4810.55151984834
62264|01037|0033|0||1|||4|20|PIURA|06|SULLANA|07|QUERECOTILLO|0001|QUERECOTILLO|00300|036B|||1|-80.643208|-4.8344537|71.0|1|1|002|1|1|1||1||1||5||1||1||1||4|3|2|2|1|2|1|2|1|2|||||||2|4810.55151984834
62277|01037|0046|0||1|||4|20|PIURA|06|SULLANA|07|QUERECOTILLO|0001|QUERECOTILLO|00300|036B|||1|-80.642892|-4.8347730|65.0|1|1|003|1|1|1||1||4||5||1||1||1||3|2|1|2|2|2|2|2|2|2|||||||2|4810.55151984834
62349|01037|0118|0||1|||4|20|PIURA|06|SULLANA|07|QUERECOTILLO|0001|QUERECOTILLO|00300|042A|||1|-80.642058|-4.8356072|67.0|1|1|006|1|1|1||1||4||5||1||1||1||4|3|1|2|2|2|1|2|1|2|||||||2|4810.55151984834
62363|01037|0132|0||1|||4|20|PIURA|06|SULLANA|07|QUERECOTILLO|0001|QUERECOTILLO|00300|042A|||1|-80.642796|-4.8358987|65.0|1|1|007|2|1|1||1||4||5||1||1||1||4|3|1|2|2|2|1|2|1|2|||||||1|4810.55151984834
62363|01037|0132|0||1|||4|20|PIURA|06|SULLANA|07|QUERECOTILLO|0001|QUERECOTILLO|00300|042A|||1|-80.642796|-4.8358987|65.0|1|1|007|2|2|1||1||4||5||1||1||1||2|1|2|2|2|1|2|2|1|2|||||||2|4810.55151984834
62392|01037|0161|0||1|||4|20|PIURA|06|SULLANA|07|QUERECOTILLO|0001|QUERECOTILLO|00300|043|||1|-80.644270|-4.8359019|73.0|1|1|008|1|1|1||1||4||5||1||1||1||3|2|1|2|2|1|2|2|1|2|||||||2|4810.55151984834
62292|01037|0061|1|0075|1|||4|20|PIURA|06|SULLANA|07|QUERECOTILLO|0001|QUERECOTILLO|00300|039|||1|-80.642921|-4.8346097|69.0|1|1|010|1|1|1||1||4||5||1||1||1||2|1|2|2|2|1|2|2|1|2|||||||2|4810.55151984834
62335|01037|0104|1|0090|1|||4|20|PIURA|06|SULLANA|07|QUERECOTILLO|0001|QUERECOTILLO|00300|041|||1|-80.644017|-4.8360961|71.0|1|1|011|1|1|1||1||4||6||1||1||1||3|2|1|2|1|1|1|2|1|2|||||||2|4810.55151984834
60407|01324|0005|0||1|||1|20|PIURA|01|PIURA|01|PIURA|0001|PIURA|01800|030|||1|-80.656567|-5.1848142|52.0|1|1|001|1|1|1||1||1||3||1||1||1||5|3|1|1|1|1|1|1|1|2|||||||2|5497.77316554096
60422|01324|0020|0||1|||1|20|PIURA|01|PIURA|01|PIURA|0001|PIURA|01800|031|||1|-80.657166|-5.1839164|51.0|1|1|002|1|1|2||1||1||3||1||2||2||3|2|1|1|1|1|1|1|1|2|||||||1|5497.77316554096
60505|01324|0103|0||1|||1|20|PIURA|01|PIURA|01|PIURA|0001|PIURA|01800|034|||1|-80.657437|-5.1844201|58.0|1|1|005|1|1|2||1||1||3||1||2||2||3|2|1|1|1|1|1|1|1|2|||||||2|5497.77316554096
60551|01324|0149|0||1|||1|20|PIURA|01|PIURA|01|PIURA|0001|PIURA|01800|035|||1|-80.657424|-5.1845335|61.0|1|1|007|1|1|2||1||1||3||1||2||2||3|2|1|1|2|2|1|1|1|2|||||||2|5497.77316554096
60439|01324|0037|1|0120|1|||1|20|PIURA|01|PIURA|01|PIURA|0001|PIURA|01800|031|||1|-80.657143|-5.1844422|58.0|1|1|009|1|1|2||1||1||3||1||2||2||2|1|1|1|1|1|1|1|1|2|||||||2|5497.77316554096
60488|01324|0086|1|0054|1|||1|20|PIURA|01|PIURA|01|PIURA|0001|PIURA|01800|033|||1|-80.657685|-5.1842093|46.0|1|1|010|1|1|1||1||1||3||1||1||1||3|2|1|1|1|1|1|1|1|2|||||||1|5497.77316554096
60537|01324|0135|1|0165|1|||1|20|PIURA|01|PIURA|01|PIURA|0001|PIURA|01800|035|||1|-80.657619|-5.1844842|60.0|1|1|011|1|1|1||1||1||3||1||1||1||3|2|2|1|1|1|2|1|1|2|||||||2|5497.77316554096
60931|0157302|0011|0||1|||1|20|PIURA|01|PIURA|04|CASTILLA|0001|CASTILLA|00500|001A|||1|-80.600909|-5.1818245|57.0|1|1|001|1|1|1||1||1||5||1||1||1||4|1|1|2|2|1|2|2|1|2|||||||1|4810.55151984834
60941|0157302|0021|0||1|||1|20|PIURA|01|PIURA|04|CASTILLA|0001|CASTILLA|00500|001B|||1|-80.601311|-5.1814963|53.0|1|1|002|1|1|1||1||4||6||1||1||1||5|4|1|2|2|1|2|2|1|2|||||||3|4810.55151984834
60968|0157302|0048|0||1|||1|20|PIURA|01|PIURA|04|CASTILLA|0001|CASTILLA|00500|001F|||1|-80.600115|-5.1811744|47.0|1|1|003|1|1|1||1||1||5||1||1||3||3|2|1|2|2|1|1|2|1|2|||||||1|4810.55151984834
61004|0157302|0084|0||1|||1|20|PIURA|01|PIURA|04|CASTILLA|0001|CASTILLA|00500|002A|||1|-80.599491|-5.1814988|48.0|1|1|005|1|1|1||1||4||6||1||1||1||4|3|1|2|2|2|1|2|1|2|||||||2|4810.55151984834
